,0
20,Alaska
10,Arizona
4,Arkansas
44,California
41,Colorado
12,Connecticut
11,Delaware
19,Florida
28,Georgia
29,Hawaii
16,Idaho
42,Illinois
22,Indiana
6,Iowa
17,Kansas
26,Kentucky
35,Louisiana
21,Maine
34,Maryland
0,Massachusetts
46,Michigan
25,Minnesota
47,Mississippi
33,Missouri
13,Montana
30,Nebraska
27,Nevada
37,New Hampshire
1,New Jersey
48,New Mexico
39,New York
43,North Carolina
2,North Dakota
9,Ohio
15,Oklahoma
23,Oregon
7,Pennsylvania
5,Rhode Island
8,South Carolina
3,South Dakota
31,Tennessee
45,Texas
38,Utah
32,Vermont
14,Virginia
36,Washington
18,West Virginia
24,Wisconsin
40,Wyoming
